ВОЛГОГРАД,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
,,,,,,,,,,,,,
"РОМ 0,5л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Ром Капитан Жан Лафитт дарк 0,5 л",1590,,500,,,,,,,,,,
"Напиток спиртной на основе рома Оакхарт Ориджинал Бакарди 0,5",2310,,900,,,,,,,,,1700,799
"Ром БАРСЕЛО АНЬЕХО ВЫДЕРЖАННЫЙ 37,5-40% ТЕМН. 0,5Л ",3750,,1700,,,,,,,,,2200,1470
,,,,,,,,,,,,,
"РОМ 0,7л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Спиртной напиток ромовый КУЛ СКЕЛЕТОН КОКОС 37,5% 0,7Л",1890,"кб, бристоль",670,,,,,,,,,,
"Спиртной напиток ромовый КУЛ СКЕЛЕТОН МАНГО МАРАКУЙЯ 37,5% 0,7Л",1900,"кб, бристоль",670,,,,,,,,,,
"Ром КОППЕР ШАРК 38% 0,7Л",1850,бристоль,670,,,,,,,,,,
"Ром Мама Джама Блэк выдержанный 0,7 л",2040,"кб, бристоль",750,,,,,,,,,1699,700
"Ром Блэк Пирл Уайт 0,7 л",2490,"кб, бристоль",1000,,,,,,,,,,
"Ром выдержанный БЛЭК ПИРЛ ДАРК 37,5% 0,7Л",2500,"кб, бристоль",1000,,,,,,,,,,
"Набор коктейль ОАКХАРТ ОРИДЖИНАЛ СПАЙСД ГОЛД С РОМОМ 35% П/УП. 0,7Л + RICH COLA 2ШТ
",2490,бристоль,1000,,,,,,,,,,
"Напиток спиртной на основе рома Оакхарт Ориджинал Бакарди 0,7",2850,,1200,,,,,,,,,2000,1000
"Ром выдержанный ДЭД МЭН'С ФИНГЕРС БЕЛЫЙ 37,5% 0,7Л",2900,бристоль,1200,,,,,,,,,,
"Ром САНГСОМ выдержанный 40%, 0.7L",3020,,1300,,,,,,,,,,
"Ром выдержанный БАРСЕЛО ДОРАДО 37,5-40% 0,7Л ",3100,бристоль,1300,,,,,,,,,2400,1600
"Ром невыдержанный ОЛД МОНК БЕЛЫЙ 42,8% 0,75Л",3210,бристоль,1400,,,,,,,,,,
"Ром выдержанный ОЛД МОНК 7 ЛЕТ 42,8% 0,75Л",3390,бристоль,1500,,,,,,,,,,
"Напиток на осн. рома КАПИТАН МОРГАН ПРЯНЫЙ ЗОЛОТОЙ 35% 0,7Л",3400,,1500,,,,,,,,,2500,1850
"Ром ДЭД МЭН’С ФИНГЕРС ПРЯНЫЙ РОМ 37,5% 0,7Л",3650,бристоль,1650,,,,,,,,,2300,1650
"Ром Контрабандо 5 лет 0,7 л",4280,,2000,,,,,,,,,,
"Ром Бругал Аньехо Супериор 0,7 л",4300,,2000,,,,,,,,,4499,2400
"Ром Matusalem Solera 7 лет, 0.7л",4650,"кб, метро",2200,,,,,,,,,,
"Ром  ГАВАНА КЛУБ ОРИДЖИНАЛ АНЬЕХО 3 ГОДА БЕЛ. 0,7Л ",5180,,2500,,,,,,,,,3100,1650
"Ром ЗАКАПА СЭНТЭНАРИО СОЛЕРА ГРАН РЕЗЕРВА 23 ГОДА 40% П/УП. 0,7Л",13260,бристоль,7000,,,,,,,,,9000,7800
"Напиток на основе рома КАПИТАН МОРГАН ЧЕРНЫЙ ПРЯНЫЙ 40% 0,7Л",,нет,2500,,,,,,,,,3300,2500
Ром Ботукал Мантуано 0.7л,,нет,нет,,,,,,,,,4300,3000
,,,,,,,,,,,,,
ТЕКИЛА,новая цена,Наличие,New,,,,,,,,,цена,закуп
"Напиток спиртной текила Дон Чику Золото 0,5 л",2120,,800,,,,,,,,,,
"Текила Ольмека Сильвер 38% 0,7л ",3750,,1700,,,,,,,,,4499,2750
"Текила Ольмека Голд 38% 0,7л ",3800,,1700,,,,,,,,,4999,2070
"Текила Хосе Куэрво Эспесиаль Сильвер 38% 0,7л",4280,,2000,,,,,,,,,3000,1700
"Текила Хосе Куэрво Репосадо 38% 0,7л",4300,,2000,,,,,,,,,3000,1700
"Спиртной напиток ТЕКИЛА АСИЕНДА ВЬЕХА БЛАНКО 40% 0,75Л",6080,бристоль,3000,,,,,,,,,4000,2000
