ВОРОНЕЖ,,,,,,,,,,,,,
ВИНО БЕЛОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Виски шотландский ЧИВАС РИГАЛ 12 ЛЕТ  П/УП. 0,7Л",7900,4080,4000,,,,,,,,,5499,3400
"Виски Мэйкерс Марк 0,7Л",8230,4080,4200,,,,,,,,,5199,4100
"Виски шотландский ЧИВАС РИГАЛ 18 ЛЕТ 40% П/УП. 0,7Л ",18900,10530,8000,,,,,,,,,12999,7500
Виски шотландский МАКАЛЛАН ДАБЛ КАСК 12 ЛЕТ  0.7л ,23400,13000,12500,,,,,,,,,17999,12500
"Виски шотл. купаж. ДЖОННИ УОКЕР БЛЭК ЛЕЙБЛ 12 ЛЕТ 40% (П/УП./) 0,7",6440,нет,3200,,,,,,,,,4999,2370
"Виски Аберлауэр не менее 12 лет п/к 0,7 л",17220,нет,9200,,,,,,,,,8999,8000
"Спиртной напиток на основе виски ДЖЕМЕСОН АПЕЛЬСИН 30% 0,7Л",,нет,2500,,,,,,,,,3299,2050
Виски ирланский Поугс оригинальный (черный) 0.7л,,нет,нет,,,,,,,,,2799,1500
"Виски Чивас Ригал 15 лет шотландский купажированный 0,75 л",,нет,нет,,,,,,,,,11999,7100
Виски Макаллан Дабл Каск 15 0.7л,,нет,нет,,,,,,,,,24999,21600
Виски ирланский Поугс фруктовая мята и лайм (красный) 0.7л,,нет,нет,,,,,,,,,3000,нет в наличии
