ИРКУТСК,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Коньяк Фанагория 5 лет 0,5 л",2150,,750,,,,,,,,,1300,610
"Коньяк Фазерс Олд Баррель не менее 5 лет 0,5 л",2090,бристоль,720,,,,,,,,,1400,600
"Коньяк Старейшина 5 лет 0,5",2270,,820,,,,,,,,,1600,740
"Коньяк Армянский Кочари 7 лет подарочный п/к 0,5",2300,,830,,,,,,,,,1700,740
"Коньяк Ной Традиционный 5 лет 0,5",2610,,1000,,,,,,,,,1700,850
Коньяк Старейшина 7 лет 0.5,2610,,1000,,,,,,,,,1900,770
"Коньяк Армянский Арарат 5 лет п/к 0,5",3170,,1300,,,,,,,,,1900,1200
Бренди Торрес 10 лет Гран Резерва 0.5,3550,,1500,,,,,,,,,2200,1500
"Коньяк А.ДЕ Фуссиньи Селексьон Коллексьон туба 0,5 л",5230,,2400,,,,,,,,,3500,2350
"Коньяк КУРВУАЗЬЕ ВС 40% 0,5Л ",7280,бристоль,3500,,,,,,,,,4600,3500
"Коньяк армянский очень старый ОС НАИРИ 20 ЛЕТ 40% П/УП. 0,5Л ",11200,бристоль,5600,,,,,,,,,6000,5600
"Коньяк А.де Фуссиньи ХО п/к 0,5 л",,мало,8000,,,,,,,,,8400,7000
Коньяк Монте Шоко Шоколадная гора 5 лет 0.5 л,,нет,нет,,,,,,,,,1400,650
,,,,,,,,,,,,,
"КОНЬЯК 0,7л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Коньяк КУРВУАЗЬЕ ВС 40% П/УП. 0,7Л ",9510,,4700,,,,,,,,,6000,5600
"Коньяк ординарный МАРТЕЛЬ ВС 3 ГОДА 40% 0,7Л ",10080,,5000,,,,,,,,,6500,4500
"Коньяк ординарный ХЕННЕССИ ВС 40% П/УП. 0,7Л",11940,бристоль,6000,,,,,,,,,6600,5560
"Коньяк ординарный ХЕННЕССИ ВСОП ПРИВИЛЕЖ 4 ГОДА 40% П/УП. 0,7Л",,нет,9000,,,,,,,,,11500,8000
"Коньяк РЕМИ МАРТАН ХО 40% П/УП. 0,7Л ",,нет,20000,,,,,,,,,24000,20000
"Коньяк ординарный РУЛЛЕ ВС 3 ГОДА 40% 0,7Л",,нет,нет,,,,,,,,,3400,2100
"Коньяк КУРВУАЗЬЕ ФОНТЕНБЛО КАСКС 3 ГОДА 40% П/УП. 0,7Л",,нет,нет в наличии,,,,,,,,,6700,4000
