КРАСНОДАР,новая цена,Наличие,New,страна,сорт винограда,крепость,,,цена,закуп,,,
"Ром Бругал Аньехо Супериор 0,7 л",5040,,2300,,,,,,3000,2300,,,
"Ром Ботран №8 Ризерва Классика 40% п/к 0,7 л",5600,,2600,,,,,,,,,,2900
"Ром Matusalem Solera 7 лет, 0.7л",5970,,2800,,,,,,,,,,
"Ром Закапа XO п/к 0,7 л",21280,,11000,,,,,,11500,?,,,
"Ром выдержанный Гавана Клуб Аньехо 3 года 0,7 л",5040,нет,2300,,,,,,3300,2000,,,
"Ром выдержанный БАРСЕЛО ДОРАДО 37,5-40% 0,7Л",,нет,нет,,,,,,2300,1500,,,
,,,,,,,,,,,,,
ТЕКИЛА,новая цена,Наличие,New,,,,,,цена,закуп,,,
"Коктейль Альта Коста Сильвер с текилой 0,5 л",1600,,450,,,,,,1300,450,,,
"Спиртной напиток ФАНТАСМА 40% 0,5Л",1680,,500,,,,,,1500,500,,,
"Текила Ранчо Вьехо Сильвер 0,7 л",3550,,1500,,,,,,2600,1500,,,
"Напиток спиртной текила Ольмека Белая 0,7 л",5600,,2600,,,,,,3900,2600,,,
"Текила Хосе Куэрво Эспесиаль Сильвер 0,7 л",5970,очень мало,2800,,,,,,3700,2800,,,
"Текила Хосе Куэрво Репосадо 0,7 л",6150,,2900,,,,,,3800,2900,,,
"Текила Эсполон Бланко 0,75 л",6350,,3000,,,,,,4000,2500,,,
"Текила Эсполон Репосадо 0,75 л",6350,,3000,,,,,,4000,2600,,,
"Текила Ла Тременда 0,7 л",,нет,нет,,,,,,2200,1100,,,
"Спиртной напиток ТЕКИЛА ГОЛД ЛА МИСЬОН ДЕЛЬ СИГЛО 21 0,75Л",,нет,нет,,,,,,2500,1900,,,
"Спиртной напиток ТЕКИЛА СИЛЬВЕР ЛА МИСЬОН ДЕЛЬ СИГЛО 21 40% 0,75Л",,нет,нет,,,,,,2500,1950,,,
"Спиртной напиток ТЕКИЛА АСИЕНДА ВЬЕХА РЕПОСАДО 40% 0,75Л",,нет,нет,,,,,,4000,2600,,,
,,,,,,,,,,,,,
ДЖИН,новая цена,Наличие,New,,,,,,цена,закуп,,,
"Джин ГРИНБОЛЛ ПИНК\ДРАЙ 38% 0,5Л",1500,,400,бристоль,,,,,1300,400,,,
