ПЕРМЬ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,цена,закуп,
"Текила ЭСПОЛОН БЛАНКО 40% 0,75Л ",6350,,3000,,,,,,,,4000,3000,
"Текила Эсполон Репосадо 0,75 л",6350,,3000,,,,,,,,4000,2560,
"Спиртной напиток ТЕКИЛА СИЛЬВЕР ЛА МИСЬОН ДЕЛЬ СИГЛО 21 40% 0,75Л",,нет,1800,бристоль,,,,,,,2800,1800,
"Текила САУЗА АСЬЕНДА ГОЛД 38% 0,7Л",,нет,нет,,,,,,,,3700,2700,
"Спиртной напиток ТЕКИЛА ГОЛД ЛА МИСЬОН ДЕЛЬ СИГЛО 21 40% 0,75Л",,нет,нет,,,,,,,,2900,1600,
"Спиртной напиток ТЕКИЛА АСИЕНДА ВЬЕХА БЛАНКО 40% 0,75Л",,нет,нет,,,,,,,,4000,2000,
,,,,,,,,,,,,,
ДЖИН,новая цена,Наличие,New,,,,,,,,цена,закуп,
"Джин БАРРИСТЕР ДРАЙ 40% 0,5Л",1920,,630,,,,,,,,1200,590,
"Джин БРИСТОЛЛС 40% 0,7Л",2150,,750,бристоль,,,,,,,1600,700,
"Спиртной напиток на основе джина ГОРДОНС ПИНК 37,5% 0,7Л",5790,нет,2700,бристоль,,,,,,,3000,1600,
"Джин ПИКИ БЛАЙНДЕР СПАЙС ДРАЙ 40% 0,7Л",,нет,нет,,,,,,,,1900,1190,
"Джин ОуБиЭс Обсешн 0,7 л",,нет,нет,,,,,,,,2200,900,
,,,,,,,,,,,,,
ЛИКЕР,новая цена,Наличие,New,,,,,,,,цена,закуп,
"Ликер десертный ЛИМОНЧЕЛЛО 18% 0,5Л",1470,,390,бристоль,,,,,,,1200,390,
"Спиртной напиток десертный АПЕРОЛЬ 11% СЛ. 0,7Л",4110,,1800,,,,,,,,2600,1490,
"Ликер десертный КАМПАРИ 25% 0,75Л",4300,,1900,,,,,,,,2700,1900,
"Ликер Куантро крепкий 0,7 л",4480,,2000,,,,,,,,3000,1900,
"Ликер десертный ЯГЕРМАЙСТЕР 35% 0,7Л",4480,,2000,,,,,,,,3100,1400,
