Новосибирск,,,,,,,,,,,,,
ВИНО БЕЛОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Коньяк ординарный ХЕННЕССИ ВС 40% П/УП. 0,7Л",,нет,нет,,,,,,,,,6300,5500
,,,,,,,,,,,,,
"РОМ 0,5л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Ром Капитан Жан Лафитт дарк 0,5 л",1780,,550,,,,,,,,,,
"Напиток спиртной на основе рома Оакхарт Ориджинал Бакарди 0,5",2430,,900,,,,,,,,,1700,850
,,,,,,,,,,,,,
"РОМ 0,7л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Ром Мама Джама Блэк выдержанный 0,7 л",2030,,690,,,,,,,,,,
"Спиртной напиток ромовый КУЛ СКЕЛЕТОН КОКОС 37,5% 0,7Л",2060,"кб,бристоль",700,,,,,,,,,,
"Спиртной напиток ромовый КУЛ СКЕЛЕТОН МАНГО МАРАКУЙЯ 37,5% 0,7Л",2060,"кб,бристоль",700,,,,,,,,,,
"Набор Оакхарт Ориджинал Спайс Голд+2 банки Rich Cola 0,7 л",2610,"кб,бристоль",1000,,,,,,,,,2799,1970
"Ром Блэк Пирл Уайт 0,7 л",2610,"кб,бристоль",1000,,,,,,,,,1900,1150
"Ром Блэк Пирл Дарк 0,7 л",2710,"кб,бристоль",1050,,,,,,,,,1900,1000
"Напиток спиртной на основе рома Оакхарт Ориджинал Бакарди 0,7",2990,,1200,,,,,,,,,1900,1050
"Напиток спиртной на осн. рома КАПИТАН МОРГАН ПРЯНЫЙ ЗОЛОТОЙ 35% 0,7Л",2990,,1200,,,,,,,,,2500,1200
"Ром выдержанный Сангсом в п/к 0,7 л",3170,,1300,,,,,,,,,,
"Ром Барсело Аньехо 0,7Л",3650,,1550,,,,,,,,,2600,1550
"Ром Matusalem Solera 7 лет, 0.7л",4860,"кб, метро",2200,,,,,,,,,,
Контрабандо 5 лет 0.7л,5040,,2300,,,,,,,,,3799,1670
"Ром Бругал Аньехо Супериор 0,7 л",4820,нет,2300,,,,,,,,,3900,2500
Ром Барсело Аньехо Гран 0.7л,3560,нет,1600,,,,,,,,,2500,1500
"Ром выдержанный Гавана Клаб Аньехо 3 года белый 0,7 л",5550,нет,2700,,,,,,,,,3100,2300
"Ром Закапа XO п/к 0,7 л",20450,нет,11000,,,,,,,,,11500,10500
"Ром выдержанный БАРСЕЛО ДОРАДО 37,5-40% 0,7Л",,нет,нет,,,,,,,,,2500,1150
,,,,,,,,,,,,,
ТЕКИЛА,новая цена,Наличие,New,,,,,,,,,цена,закуп
"Спиртной напиток ДЭД МЭН'С ФИНГЕРС ТЕКИЛА РЕПОСАДО 40% 0,7Л",3920,бристоль,1700,,,,,,,,,2700,1700
"Текила Хосе Куэрво золотая 0,7 л",5600,,2600,,,,,,,,,3400,2500
"Текила Эсполон Бланко 0,75 л",6350,,3000,,,,,,,,,3500,2650
"Текила Эсполон Репосадо 0,75 л",6350,,3000,,,,,,,,,3700,2700
"Спиртной напиток ТЕКИЛА АСИЕНДА ВЬЕХА РЕПОСАДО 40% 0,75Л",,нет,3000,,,,,,,,,4000,2900
"Спиртной напиток ТЕКИЛА АСИЕНДА ВЬЕХА БЛАНКО 40% 0,75Л",,нет,3000,,,,,,,,,4000,2900
"Текила Ла Тременда 0,7 л",,нет,нет,,,,,,,,,2000,1100
"Текила Пелигро Катрина Сильвер 0,7 л",,нет,нет,,,,,,,,,2500,1000
,,,,,,,,,,,,,
ДЖИН,новая цена,Наличие,New,,,,,,,,,цена,закуп
"Джин БРИСТОЛЛС 40% 0,5Л",2060,бристоль,700,,,,,,,,,1400,590
"Джин БРИСТОЛЛС 40% 0,7Л",2150,бристоль,750,,,,,,,,,1600,730
"Джин Гордонс лондонский сухой 0,7",4300,?,1900,,,,,,,,,2700,1900
"Спиртной напиток на основе джина ГОРДОНС ПИНК 37,5% 0,7Л",5790,"?, бристоль",2700,,,,,,,,,2900,1650
"Джин ПИКИ БЛАЙНДЕР СПАЙС ДРАЙ 40% 0,7Л",,нет,нет,,,,,,,,,1800,900
"Джин Бифитер Лондон Драй 0,7",,нет,нет,,,,,,,,,3500,2500
"Джин Хендрикс 0,7л  ",,нет,нет,,,,,,,,,5000,4000
"Джин Року 0,7л  ",,нет,нет,,,,,,,,,4800,3800
,,,,,,,,,,,,,
ЛИКЕР,новая цена,Наличие,New,,,,,,,,,цена,закуп
"Ликер десертный Ягермайстер 0,7",3920,,1700,,,,,,,,,3000,1600
"Напиток спирт. Апероль (аперитив) 0,75 л",4110,,1800,,,,,,,,,2800,1500
"Ликер Куантро крепкий 0,7 л",4300,,1900,,,,,,,,,2900,1850
"Ликер десертный Кампари (аперитив) 0,75 л",4480,,2000,,,,,,,,,2900,1780
"Ликер эмульсионный Бэйлис сливочный оригинальный 0,7",5140,,2350,,,,,,,,,3000,2350
"Спиртной напиток ДЖЕК ДЭНИЕЛС ТЕННЕССИ ХАНИ ЛИКЕР 35% 0,7Л",5600,бристоль,2600,,,,,,,,,3100,2300
